QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,RENTCODE,RENT_ODE,BSNSPCTZ,BSNS_CTZ,QADRENTX,QADR_NTX,ANYVACAT,ANYV_CAT
20181,03798412,21,0,1,105,D,,A,675,D,1,D
20181,03798532,39,0,1,105,D,,A,300,D,1,D
20181,03798932,45,0,1,105,D,,A,30,D,1,D
20181,03799392,45,0,1,105,D,,A,400,D,1,D
20181,03799462,24,0,1,105,D,,A,1000,D,1,D
20181,03799522,20,0,1,200,D,,A,200,D,1,D
20181,03800222,9,0,1,105,D,,A,1000,D,1,D
20181,03802742,17,0,1,105,D,,A,40,D,1,D
20181,03804352,24,0,1,105,D,,A,450,D,1,D
20181,03804612,59,0,1,105,D,,A,730,D,1,D
20181,03805072,47,0,1,200,D,,A,120,D,1,D
20181,03805372,46,0,1,105,D,,A,260,D,2,D
20181,03806092,30,0,1,105,D,,A,115,D,1,D
20181,03807502,58,0,1,105,D,,A,205,D,1,D
20181,03807932,24,0,1,105,D,,A,120,D,1,D
20181,03819651,10,0,1,105,D,,A,70,D,2,D
20181,03820121,15,0,1,105,D,,A,200,D,1,D
20181,03821891,11,0,1,105,D,,A,130,D,1,D
20181,03824171,19,0,1,105,D,,A,256,D,1,D
20181,03824571,32,0,1,105,D,,A,84,D,1,D
20181,03824571,33,0,1,105,D,,A,90,D,1,D
20181,03824571,34,0,1,105,D,,A,75,D,1,D
20181,03825221,27,0,1,105,D,,A,155,D,1,D
20181,03825361,27,0,1,105,D,,A,1200,D,1,D
20181,03825571,25,0,1,105,D,,A,620,D,2,D
20181,03825811,31,0,1,105,D,,A,250,D,1,D
20181,03825893,6,0,1,180,D,,A,30,D,1,D
20181,03826251,8,0,1,105,D,,A,115,D,1,D
20181,03827411,12,0,1,105,D,,A,165,D,1,D
20181,03827741,18,0,1,105,D,,A,200,D,1,D
20181,03828161,11,0,1,105,D,,A,110,D,2,D
20181,03839911,18,0,1,105,D,,A,380,D,2,D
20181,03840221,22,0,1,105,D,,A,40,D,2,D
20181,03840221,23,0,1,105,D,,A,30,D,2,D
20181,03840791,26,0,1,105,D,,A,179,D,2,D
20181,03841091,7,0,1,200,D,,A,1600,D,2,D
20181,03841211,25,0,1,105,D,,A,200,D,1,D
20181,03842041,6,0,1,105,D,,A,400,D,2,D
20181,03842071,89,0,1,105,D,,A,150,D,2,D
20181,03842203,33,0,1,105,D,,A,275,D,1,D
20181,03842481,16,0,1,105,D,,A,65,D,2,D
20181,03842561,37,0,1,105,D,,A,720,D,1,D
20181,03842711,15,0,1,105,D,,A,641,D,2,D
20181,03843241,33,0,1,105,D,,A,180,D,1,D
20181,03843391,41,0,1,105,D,,A,1400,D,1,D
20181,03843531,8,0,1,105,D,,A,500,D,1,D
20181,03844071,40,0,1,105,D,,A,225,D,1,D
20181,03845201,28,0,1,105,D,,A,250,D,1,D
20181,03845711,25,0,1,105,D,1.0,D,0,D,1,D
20181,03845721,29,0,1,105,D,,A,700,D,2,D
20181,03845901,48,0,1,140,D,,A,80,D,2,D
20181,03846261,27,0,1,105,D,,A,50,D,1,D
20181,03847231,16,0,1,105,D,,A,140,D,2,D
20181,03847461,29,0,1,105,D,1.0,D,0,D,1,D
20181,03848161,27,0,1,105,D,,A,20,D,2,D
20181,03849643,18,0,1,105,D,,A,100,D,1,D
20181,03849821,20,0,1,105,D,,A,50,D,1,D
20181,03849821,21,0,1,105,D,,A,100,D,1,D
20181,03849821,22,0,1,200,D,,A,50,D,1,D
20181,03850253,17,0,1,105,D,,A,150,D,1,D
20181,03850253,18,0,1,105,D,,A,130,D,1,D
20181,03852651,44,0,1,105,D,,A,110,D,1,D
20181,03853411,18,0,1,105,D,,A,700,D,2,D
20181,03853591,26,0,1,105,D,,A,200,D,1,D
20181,03854411,35,0,1,105,D,,A,30,D,2,D
20181,03854991,15,0,1,105,D,,A,295,F,1,D
20181,03856991,19,0,1,105,D,,A,390,D,2,D
20181,03857071,27,0,1,105,D,,A,250,D,1,D
20181,03857071,28,0,1,105,D,,A,250,D,1,D
20181,03857071,29,0,1,105,D,,A,500,D,1,D
20181,03857561,44,0,1,105,D,,A,150,D,1,D
20181,03859131,29,0,1,105,D,,A,505,D,1,D
20181,03859321,18,0,1,105,D,,A,500,D,1,D
20181,03859971,10,0,1,105,D,,A,25,D,1,D
