QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CRMCODEB,CRMC_DEB,CRMPROPI,CRMP_OPI,CRMTYPE,CRMTYPE_,APPCDE1,APPCDE1_,APPCDE2,APPCDE2_,APPCDE3,APPCDE3_,APPCDE4,APPCDE4_,APPCDE5,APPCDE5_,APPCDE6,APPCDE6_,REIMBRSZ,REIM_RSZ,CRMBSNSZ,CRMB_NSZ,QADEQPX1,QADE_PX1,QADEQPX2,QADE_PX2,QADEQPX3,QADE_PX3,QADEQPX4,QADE_PX4,QADEQPX5,QADE_PX5,QADEQPX6,QADE_PX6,QADPSP3X,QADP_P3X,QADPSP2X,QADP_P2X,QADPSPLX,QADP_PLX,QADRSP3X,QADR_P3X,QADRSP2X,QADR_P2X,QADRSPLX,QADR_PLX,CRMPTYPE,CRMP_YPE,CRMCODE,CRMCODE_,CRMCDB1,CRMCDB1_,CRMCDB2,CRMCDB2_,CRMCDB3,CRMCDB3_,CRMCDB4,CRMCDB4_,CRMCDB5,CRMCDB5_,CRMCDB6,CRMCDB6_,CRMCDB7,CRMCDB7_,CRMCDB8,CRMCDB8_,CRMCDB9,CRMCDB9_,CONTRACT,CONT_ACT,JLABOR1X,JLAB_R1X,JLABOR2X,JLAB_R2X,JLABOR3X,JLAB_R3X,APPL_X,APPL_X_,CONT0M01,CONT0M02,CONT0M03,CONT0M04,CONT_M01,CONT_M02,CONT_M03,CONT_M04,QADEQPX,QADEQPX_,SUPPLYM1,SUPPLYM2,SUPPLYM3,SUPPLYM4,SUPP_YM1,SUPP_YM2,SUPP_YM3,SUPP_YM4,TOOL0M01,TOOL0M02,TOOL0M03,TOOL0M04,TOOL_M01,TOOL_M02,TOOL_M03,TOOL_M04,QADLABX,QADLABX_,QADPSPTX,QADP_PTX,QADTLRX,QADTLRX_
20171,03387964,30,0,2,140,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,399,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,0,D,0,D,70,D,,A,,,,,A,A,A,A,,A,,,,,A,A,A,A,,,,,A,A,A,A,,A,,A,,A
20171,03388314,10,0,1,310,D,99,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,5,D,401,D,300,D,175,D,,A,,A,,A,,A,,A,,A,,A,2,D,,H,,A,,A,,A,,,,,A,A,A,A,,A,,,,,A,A,A,A,,,,,A,A,A,A,,A,,A,,A
20171,03388314,10,7,1,300,D,,B,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,5,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,B,1200,D,,A,,A,,A,,,,,A,A,A,A,,A,,,,,A,A,A,A,,,,,A,A,A,A,,A,,A,,A
20171,03388554,5,0,1,220,D,01,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,405,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,0,D,0,D,182,D,,A,,,,,A,A,A,A,,A,,,,,A,A,A,A,,,,,A,A,A,A,,A,,A,,A
20171,03388574,2,0,1,300,D,01,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,0,D,630,D,0,D,,A,,A,,A,1,D,599,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,630,D,0,D,0,D,,A,,,,,A,A,A,A,,A,,,,,A,A,A,A,,,,,A,A,A,A,,A,,A,,A
20171,03388604,33,0,2,260,D,01,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,508,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,0,D,0,D,1000,D,,A,,,,,A,A,A,A,,A,,,,,A,A,A,A,,,,,A,A,A,A,,A,,A,,A
20171,03388734,15,0,1,130,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,211,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,0,D,9883,D,9255,D,,A,,,,,A,A,A,A,,A,,,,,A,A,A,A,,,,,A,A,A,A,,A,,A,,A
20171,03388734,100,0,2,140,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,399,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,0,D,0,D,110,D,,A,,,,,A,A,A,A,,A,,,,,A,A,A,A,,,,,A,A,A,A,,A,,A,,A
20171,03388734,101,0,2,300,D,01,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,499,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,0,D,0,D,86,D,,A,,,,,A,A,A,A,,A,,,,,A,A,A,A,,,,,A,A,A,A,,A,,A,,A
20171,03389224,8,0,1,175,D,01,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,60,D,0,D,,A,,A,,A,1,D,401,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A,,A,,A,,A,,,,,A,A,A,A,,A,,,,,A,A,A,A,,,,,A,A,A,A,,A,,A,,A
20171,03389224,9,0,1,300,D,01,D,4,D,900,D,,A,,A,,A,,A,,A,,A,,A,220.00,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,499,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,0,D,0,D,0,D,,A,,,,,A,A,A,A,,A,,,,,A,A,A,A,,,,,A,A,A,A,,A,,A,,A
20171,03389234,3,0,1,200,D,01,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,0,D,0,D,110,D,,A,,A,,A,1,D,501,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A,,A,,A,,A,,,,,A,A,A,A,,A,,,,,A,A,A,A,,,,,A,A,A,A,,A,,A,,A
